,actual,forecast_1,forecast_2,forecast_3,forecast_4,forecast_5,forecast_6,forecast_7
2016-07-10,5.239999771118164,5.493533,5.4186735,5.335044,5.3623395,5.3886933,5.3027153,5.3449507
2016-07-11,5.050000190734863,5.3347898,5.456455,5.416739,5.335694,5.3638787,5.3938923,5.2984786
2016-07-12,5.21999979019165,5.2100983,5.376512,5.45437,5.4149623,5.327453,5.3650336,5.403684
2016-07-13,5.25,5.253498,5.2833867,5.3778934,5.4526253,5.4360895,5.32561,5.3673043
2016-07-14,5.380000114440918,5.2650046,5.272123,5.28689,5.3787093,5.4692864,5.441811,5.3233047
2016-07-15,5.409999847412109,5.3383965,5.2726216,5.2736406,5.2898545,5.368317,5.475274,5.4546156
2016-07-16,5.480000019073486,5.3492894,5.3157763,5.2731256,5.2754755,5.265346,5.3650784,5.486355
2016-07-17,5.489999771118164,5.3857837,5.325511,5.3148956,5.274301,5.260772,5.257426,5.36068
2016-07-18,5.400000095367432,5.415833,5.3523808,5.3242774,5.3142385,5.258692,5.257859,5.241051
2016-07-19,5.340000152587891,5.4021187,5.38822,5.35073,5.323181,5.3137774,5.255107,5.2506
2016-07-20,5.489999771118164,5.376798,5.4007707,5.3867164,5.348951,5.3322167,5.312475,5.2507606
2016-07-21,5.579999923706055,5.4581485,5.388885,5.400432,5.3850656,5.3657813,5.3328424,5.311935
2016-07-22,5.25,5.5204096,5.434559,5.389377,5.3997927,5.403478,5.3702345,5.3317595
2016-07-23,5.199999809265137,5.359426,5.482779,5.433683,5.3895793,5.40831,5.4087057,5.3751245
2016-07-24,5.420000076293945,5.29773,5.402914,5.4809523,5.43284,5.39068,5.4114547,5.4182496
2016-07-25,5.590000152587891,5.386555,5.3417597,5.4043636,5.479337,5.4437337,5.3916645,5.417401
2016-07-26,5.170000076293945,5.491896,5.371979,5.3440485,5.4055123,5.4953933,5.447881,5.3949404
2016-07-27,5.349999904632568,5.2931857,5.4436393,5.371804,5.345857,5.392973,5.500906,5.4576316
2016-07-28,5.730000019073486,5.3487835,5.3482575,5.441456,5.3720527,5.3301444,5.3893013,5.5139647
2016-07-29,5.400000095367432,5.542595,5.3513565,5.3500886,5.439807,5.3730965,5.3251595,5.383424
2016-07-30,5.650000095367432,5.424884,5.4614887,5.352015,5.3516836,5.4519706,5.374059,5.3151402
2016-07-31,5.320000171661377,5.562402,5.435278,5.4580936,5.3521786,5.3317137,5.456612,5.3753314
2016-08-01,5.340000152587891,5.406781,5.5156655,5.434896,5.455403,5.3518877,5.3245955,5.4673514
2016-08-02,5.289999961853027,5.387806,5.4433374,5.5137973,5.4345584,5.4865212,5.3505716,5.312302
2016-08-03,5.739999771118164,5.361734,5.4112587,5.4444036,5.5112553,5.432661,5.4961233,5.345454
2016-08-04,5.789999961853027,5.5999036,5.390514,5.412611,5.445513,5.536116,5.4334416,5.5130963
2016-08-05,5.550000190734863,5.649597,5.5234456,5.391958,5.4134464,5.442148,5.5419283,5.43585
2016-08-06,5.5,5.5613103,5.5804667,5.5205097,5.3936744,5.4041634,5.441079,5.5564313
2016-08-07,5.300000190734863,5.515385,5.561148,5.5767813,5.5179524,5.3810587,5.403676,5.435808
2016-08-08,5.369999885559082,5.4136896,5.5261893,5.5604424,5.573565,5.539754,5.3770366,5.4025474
2016-08-09,5.25,5.4341583,5.4656296,5.52664,5.5590453,5.603126,5.5474977,5.37347
2016-08-10,5.25,5.3685923,5.4583917,5.467923,5.5264077,5.5701127,5.610844,5.5626044
2016-08-11,5.489999771118164,5.3262515,5.4132676,5.459932,5.470094,5.5358753,5.572729,5.629122
2016-08-12,5.389999866485596,5.4147944,5.3602557,5.41539,5.4614935,5.455102,5.5378695,5.5759687
2016-08-13,5.349999904632568,5.3724203,5.388216,5.362134,5.4178953,5.446025,5.452798,5.5405893
2016-08-14,5.5,5.3446403,5.374046,5.387434,5.364144,5.3920593,5.443376,5.446508
2016-08-15,5.369999885559082,5.4276686,5.3546185,5.3738427,5.38712,5.339327,5.3844237,5.442328
2016-08-16,5.349999904632568,5.3770614,5.402474,5.355052,5.373975,5.387903,5.3316865,5.3728595
2016-08-17,5.309999942779541,5.370571,5.3862987,5.4015093,5.3552084,5.368416,5.3866844,5.31622
2016-08-18,5.28000020980835,5.351037,5.3819723,5.3864303,5.4006104,5.35041,5.366094,5.3836102
2016-08-19,5.670000076293945,5.3197885,5.368457,5.3825417,5.38665,5.4119587,5.3477435,5.3584633
2016-08-20,5.489999771118164,5.520598,5.339604,5.3693013,5.3828406,5.3842783,5.4143624,5.340978
2016-08-21,5.25,5.467067,5.4504304,5.3406096,5.370189,5.378898,5.384315,5.4167156
2016-08-22,5.5,5.335158,5.453,5.4476695,5.341671,5.3637366,5.377684,5.382473
2016-08-23,5.309999942779541,5.445229,5.3769093,5.451698,5.4452205,5.3302565,5.361548,5.376729
2016-08-24,5.650000095367432,5.363478,5.422361,5.378523,5.450653,5.4683228,5.327581,5.357026
2016-08-25,5.400000095367432,5.5412817,5.3876014,5.421814,5.379382,5.459302,5.474891,5.3216014
2016-08-26,5.599999904632568,5.4436646,5.4853225,5.388384,5.4211617,5.368969,5.4615383,5.4896264
2016-08-27,5.710000038146973,5.5291142,5.4557137,5.483204,5.3895226,5.4341836,5.365402,5.4655514
2016-08-28,5.78000020980835,5.601563,5.4945674,5.4556546,5.480979,5.3795414,5.437478,5.357537
2016-08-29,5.510000228881836,5.685859,5.55122,5.4932294,5.4558287,5.499005,5.3785424,5.443174
2016-08-30,5.489999771118164,5.562864,5.632236,5.548748,5.4914293,5.4562225,5.5047226,5.3754044
2016-08-31,5.5,5.5523767,5.581063,5.629467,5.546521,5.5069222,5.455173,5.5202713
2016-09-01,5.400000095367432,5.5374627,5.5706005,5.5812874,5.6265154,5.5737786,5.5121365,5.453844
2016-09-02,5.599999904632568,5.487856,5.549147,5.5715485,5.58102,5.6545386,5.5811615,5.520348
2016-09-03,5.670000076293945,5.5727553,5.5186067,5.5498195,5.571935,5.586887,5.6643796,5.5974145
2016-09-04,5.739999771118164,5.611346,5.552444,5.5200167,5.55063,5.5728216,5.588283,5.682959
2016-09-05,5.800000190734863,5.6515255,5.5805826,5.551894,5.521526,5.5476346,5.5740433,5.594274
2016-09-06,5.949999809265137,5.707065,5.6128063,5.5790787,5.551485,5.50485,5.548149,5.575842
2016-09-07,5.869999885559082,5.8184342,5.6644754,5.6108627,5.5779476,5.5537786,5.5014114,5.551145
2016-09-08,5.71999979019165,5.8173876,5.7532268,5.662289,5.608828,5.587998,5.553947,5.4972906
2016-09-09,5.820000171661377,5.767103,5.785238,5.750048,5.6599245,5.6260195,5.5904593,5.5573187
2016-09-10,5.769999980926514,5.8173933,5.775418,5.7832246,5.7466693,5.6851916,5.630774,5.5944214
2016-09-11,5.579999923706055,5.800799,5.801863,5.775443,5.7809124,5.782963,5.6918015,5.639381
2016-09-12,5.53000020980835,5.6950636,5.799906,5.8012905,5.774845,5.8074064,5.7942557,5.704538
2016-09-13,5.329999923706055,5.636374,5.7359147,5.7997103,5.8004417,5.78475,5.816094,5.815403
2016-09-14,5.860000133514404,5.489272,5.6783977,5.7376246,5.799604,5.81496,5.788755,5.8348436
